KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,MIN_TUPY,MAX_TUPY,MIN_OSTRY,MAX_OSTRY,EXPORT_DWH
"CS","INTERVAL",7700,"431921431921000","<1 921; 1 921>","1 921","01.01.1900","09.09.9999",,,1921,1921,
"CS","INTERVAL",7700,"431922431922000","<1 922; 1 922>","1 922","01.01.1900","09.09.9999",,,1922,1922,
"CS","INTERVAL",7700,"431923431923000","<1 923; 1 923>","1 923","01.01.1900","09.09.9999",,,1923,1923,
"CS","INTERVAL",7700,"431924431924000","<1 924; 1 924>","1 924","01.01.1900","09.09.9999",,,1924,1924,
"CS","INTERVAL",7700,"431925431925000","<1 925; 1 925>","1 925","01.01.1900","09.09.9999",,,1925,1925,
"CS","INTERVAL",7700,"431926431926000","<1 926; 1 926>","1 926","01.01.1900","09.09.9999",,,1926,1926,
"CS","INTERVAL",7700,"431927431927000","<1 927; 1 927>","1 927","01.01.1900","09.09.9999",,,1927,1927,
"CS","INTERVAL",7700,"431928431928000","<1 928; 1 928>","1 928","01.01.1900","09.09.9999",,,1928,1928,
"CS","INTERVAL",7700,"431929431929000","<1 929; 1 929>","1 929","01.01.1900","09.09.9999",,,1929,1929,
"CS","INTERVAL",7700,"431930431930000","<1 930; 1 930>","1 930","01.01.1900","09.09.9999",,,1930,1930,
"CS","INTERVAL",7700,"431931431931000","<1 931; 1 931>","1 931","01.01.1900","09.09.9999",,,1931,1931,
"CS","INTERVAL",7700,"431932431932000","<1 932; 1 932>","1 932","01.01.1900","09.09.9999",,,1932,1932,
"CS","INTERVAL",7700,"431933431933000","<1 933; 1 933>","1 933","01.01.1900","09.09.9999",,,1933,1933,
"CS","INTERVAL",7700,"431934431934000","<1 934; 1 934>","1 934","01.01.1900","09.09.9999",,,1934,1934,
"CS","INTERVAL",7700,"431935431935000","<1 935; 1 935>","1 935","01.01.1900","09.09.9999",,,1935,1935,
"CS","INTERVAL",7700,"431936431936000","<1 936; 1 936>","1 936","01.01.1900","09.09.9999",,,1936,1936,
"CS","INTERVAL",7700,"431937431937000","<1 937; 1 937>","1 937","01.01.1900","09.09.9999",,,1937,1937,
"CS","INTERVAL",7700,"431938431938000","<1 938; 1 938>","1 938","01.01.1900","09.09.9999",,,1938,1938,
"CS","INTERVAL",7700,"431939431939000","<1 939; 1 939>","1 939","01.01.1900","09.09.9999",,,1939,1939,
"CS","INTERVAL",7700,"431940431940000","<1 940; 1 940>","1 940","01.01.1900","09.09.9999",,,1940,1940,
"CS","INTERVAL",7700,"431941431941000","<1 941; 1 941>","1 941","01.01.1900","09.09.9999",,,1941,1941,
"CS","INTERVAL",7700,"431942431942000","<1 942; 1 942>","1 942","01.01.1900","09.09.9999",,,1942,1942,
"CS","INTERVAL",7700,"431943431943000","<1 943; 1 943>","1 943","01.01.1900","09.09.9999",,,1943,1943,
"CS","INTERVAL",7700,"431944431944000","<1 944; 1 944>","1 944","01.01.1900","09.09.9999",,,1944,1944,
"CS","INTERVAL",7700,"431945431945000","<1 945; 1 945>","1 945","01.01.1900","09.09.9999",,,1945,1945,
"CS","INTERVAL",7700,"431946431946000","<1 946; 1 946>","1 946","01.01.1900","09.09.9999",,,1946,1946,
"CS","INTERVAL",7700,"431946431960000","<1 946; 1 960>","1 946 až 1 960 (více nebo rovno 1 946 a méně nebo rovno 1 960)","01.01.1900","09.09.9999",,,1946,1960,
"CS","INTERVAL",7700,"431947431947000","<1 947; 1 947>","1 947","01.01.1900","09.09.9999",,,1947,1947,
"CS","INTERVAL",7700,"431948431948000","<1 948; 1 948>","1 948","01.01.1900","09.09.9999",,,1948,1948,
"CS","INTERVAL",7700,"431949431949000","<1 949; 1 949>","1 949","01.01.1900","09.09.9999",,,1949,1949,
"CS","INTERVAL",7700,"431950431950000","<1 950; 1 950>","1 950","01.01.1900","09.09.9999",,,1950,1950,
"CS","INTERVAL",7700,"431951431951000","<1 951; 1 951>","1 951","01.01.1900","09.09.9999",,,1951,1951,
"CS","INTERVAL",7700,"431952431952000","<1 952; 1 952>","1 952","01.01.1900","09.09.9999",,,1952,1952,
"CS","INTERVAL",7700,"431953431953000","<1 953; 1 953>","1 953","01.01.1900","09.09.9999",,,1953,1953,
"CS","INTERVAL",7700,"431954431954000","<1 954; 1 954>","1 954","01.01.1900","09.09.9999",,,1954,1954,
"CS","INTERVAL",7700,"431955431955000","<1 955; 1 955>","1 955","01.01.1900","09.09.9999",,,1955,1955,
"CS","INTERVAL",7700,"431956431956000","<1 956; 1 956>","1 956","01.01.1900","09.09.9999",,,1956,1956,
