LAU1,vaccination_count,infected_count,0-14,15-59,60+,název,infected_percentage,vaccinated_percentage,kids_percentage,outlier,infection_category,vaccination_category,normalized_infected_count
CZ0522,4874,10013,12496,45364,22274,Jičín,0.1249532033843312,0.0608231212718696,0.1559388025058027,0,Střední,Střední,0.04728496502310307
CZ0523,7606,13855,16921,61458,31108,Náchod,0.1265447039374537,0.0694694347274105,0.1545480285330678,0,Střední,Velký,0.0733531004254222
CZ0524,4790,10413,12672,45290,21371,Rychnov nad Kněžnou,0.131256854020395,0.0603784049512813,0.1597317635788385,0,Velký,Střední,0.049998982243542336
CZ0525,6707,16070,17984,66434,32996,Trutnov,0.1368661318071098,0.057122659989439,0.1531674246682678,0,Velký,Malý,0.08838197078360462
CZ0531,5848,13795,16512,59706,28490,Chrudim,0.1317473354471482,0.055850555831455,0.1576956870535202,0,Velký,Malý,0.07294599784235631
CZ0532,9067,25709,28419,102037,45681,Pardubice,0.1459602468533017,0.0514769753089924,0.1613459977176856,0,Velký,Malý,0.15378300075313978
CZ0533,6072,12505,16422,59682,27896,Svitavy,0.1202403846153846,0.0583846153846153,0.1579038461538461,0,Střední,Střední,0.06419329230643968
CZ0534,6754,19230,22266,79124,36621,Ústí nad Orlicí,0.1393367195368485,0.0489381281202223,0.1613349660534305,0,Velký,Malý,0.1098227068250748
CZ0631,5877,10177,14863,53112,26211,Havlíčkův Brod,0.1080521521245195,0.0623978085915104,0.1578047692863058,0,Malý,Velký,0.04839771208348317
CZ0632,7640,12747,18626,65649,29815,Jihlava,0.111727583486721,0.0669646770093785,0.1632570777456394,0,Malý,Velký,0.06583527272480544
CZ0633,4656,7750,10664,41122,20512,Pelhřimov,0.1071952197847796,0.0644001217184431,0.1475006224238568,0,Malý,Velký,0.03193041259846794
CZ0634,7312,10482,16550,63376,30411,Třebíč,0.0949998640528562,0.0662697010069151,0.1499950152713958,0,Malý,Velký,0.050467150214068106
CZ0635,7053,12701,18948,67937,31056,Žďár nad Sázavou,0.1076894379393086,0.05980108698417,0.1606565994861837,0,Malý,Střední,0.06552316074445493
CZ0641,6965,12908,18098,61808,29198,Blansko,0.1183091362369849,0.063838172752603,0.1658784279219827,0,Střední,Velký,0.06692766465603224
CZ0642,22221,41677,59790,221211,101404,Brno-město,0.1089865456780115,0.0581085498359069,0.1563525581516978,0,Malý,Střední,0.26212656819307517
CZ0643,13360,26771,41455,131031,53956,Brno-venkov,0.1182245343178385,0.0589996555409332,0.1830711617102834,0,Střední,Střední,0.160988716473406
CZ0644,6765,12237,17930,67621,30931,Břeclav,0.1050548582613622,0.058077642897615,0.1539293624766058,0,Malý,Střední,0.06237490076874538
CZ0645,10193,15551,22176,88668,42763,Hodonín,0.1012388758324815,0.0663576529715442,0.1443684207099936,0,Malý,Velký,0.08486053344008468
CZ0646,5196,11854,15751,53503,23481,Vyškov,0.1278266026850703,0.0560306248989054,0.1698495713592494,0,Velký,Malý,0.05977622928017478
CZ0647,7159,13361,18220,66062,30270,Znojmo,0.1166369858230323,0.0624956351700537,0.1590544032404497,0,Střední,Velký,0.07000128915817971
CZ0711,1882,3044,5327,21309,11073,Jeseník,0.0807234347238059,0.0499085099047972,0.1412660107666604,0,Malý,Malý,0.0
CZ0712,12714,30725,38916,134757,61768,Olomouc,0.130499785508896,0.0540007900068382,0.1652898178312188,0,Velký,Malý,0.18781677669744815
CZ0713,6590,13264,17131,61899,29474,Prostějov,0.1222443412224434,0.0607350881073508,0.1578835803288358,0,Střední,Střední,0.06934313998222319
CZ0714,8033,15770,19281,73860,35760,Přerov,0.122341952351029,0.0623191441493859,0.1495799101636139,0,Střední,Velký,0.08634645786827518
CZ0715,6414,14487,18604,67717,33646,Šumperk,0.1207582085073395,0.0534647027932681,0.1550759792276209,0,Střední,Malý,0.07764124763371624
CZ0721,6303,10924,15985,59553,29288,Kroměříž,0.1042107874000725,0.0601282124663728,0.1524907942685975,0,Malý,Střední,0.0534661392426535
CZ0722,8813,13952,21263,81322,39045,Uherské Hradiště,0.0985102026406834,0.0622255171926851,0.1501306220433524,0,Malý,Velký,0.07401124960137873
CZ0723,8114,15483,22063,81639,38194,Vsetín,0.1091151265715735,0.0571827253763319,0.155487117325365,0,Malý,Střední,0.08439915051261
CZ0724,13042,22688,29332,109553,52882,Zlín,0.1183102410738031,0.0680096158358841,0.1529564523614594,0,Střední,Velký,0.13328538569577225
CZ0801,5963,9611,13292,51988,25691,Bruntál,0.1056490529949104,0.0655483615657737,0.1461124973892779,0,Malý,Velký,0.04455737771656161
CZ0802,11087,25236,34311,124615,55661,Frýdek-Místek,0.1176026506731535,0.0516666899672393,0.1598931901746144,0,Střední,Malý,0.15057367538997035
CZ0803,14618,27897,35473,140743,66563,Karviná,0.1149069730083738,0.0602111385251607,0.1461123079014247,0,Střední,Střední,0.16862867494894254
CZ0804,9375,16850,24508,87675,39215,Nový Jičín,0.1112960541090371,0.0619228787698648,0.1618779640417971,0,Malý,Velký,0.09367430436346119
CZ0805,11042,23122,27912,101173,46692,Opava,0.1315416692741371,0.0628182299163144,0.1587921059069161,0,Velký,Velký,0.13623009437994885
CZ0806,17486,37661,48273,185145,83904,Ostrava-město,0.1186838605580451,0.0551049092089423,0.1521262313990205,0,Střední,Malý,0.23487783529986497
