nakazenych,year,month,quarter,kraj,Název kraje,celkovy pocet
12761,2020,12,4,CZ052,Královéhradecký kraj,550803
55,2020,5,2,CZ032,Plzeňský kraj,591041
28151,2021,3,1,CZ042,Ústecký kraj,817004
65,2020,6,2,CZ051,Liberecký kraj,442476
9781,2021,11,4,CZ063,Kraj Vysočina,508852
73,2020,4,2,CZ031,Jihočeský kraj,643551
482,2020,4,2,CZ020,Středočeský kraj,1397997
12989,2020,11,4,CZ072,Zlínský kraj,580119
252,2021,8,3,CZ042,Ústecký kraj,817004
251,2021,8,3,CZ051,Liberecký kraj,442476
368,2021,8,3,CZ080,Moravskoslezský kraj,1192834
11886,2021,4,2,CZ080,Moravskoslezský kraj,1192834
26127,2020,10,4,CZ080,Moravskoslezský kraj,1192834
36,2020,6,2,CZ042,Ústecký kraj,817004
218,2021,6,2,CZ071,Olomoucký kraj,630522
391,2021,9,3,CZ041,Karlovarský kraj,293311
585,2021,9,3,CZ032,Plzeňský kraj,591041
22168,2020,11,4,CZ020,Středočeský kraj,1397997
1713,2020,9,3,CZ052,Královéhradecký kraj,550803
3472,2021,4,2,CZ032,Plzeňský kraj,591041
4467,2020,12,4,CZ041,Karlovarský kraj,293311
346,2021,6,2,CZ072,Zlínský kraj,580119
7139,2021,4,2,CZ072,Zlínský kraj,580119
717,2021,10,4,CZ041,Karlovarský kraj,293311
392,2020,4,2,CZ071,Olomoucký kraj,630522
9679,2020,12,4,CZ063,Kraj Vysočina,508852
14,2020,5,2,CZ031,Jihočeský kraj,643551
22856,2020,12,4,CZ010,Hlavní město Praha,1335084
21775,2021,3,1,CZ031,Jihočeský kraj,643551
186,2021,7,3,CZ063,Kraj Vysočina,508852
88,2020,8,3,CZ041,Karlovarský kraj,293311
3015,2021,5,2,CZ010,Hlavní město Praha,1335084
2253,2020,8,3,CZ010,Hlavní město Praha,1335084
21863,2021,11,4,CZ071,Olomoucký kraj,630522
9962,2020,12,4,CZ031,Jihočeský kraj,643551
418,2020,6,2,CZ010,Hlavní město Praha,1335084
385,2020,8,3,CZ032,Plzeňský kraj,591041
30685,2020,12,4,CZ080,Moravskoslezský kraj,1192834
11028,2020,12,4,CZ053,Pardubický kraj,522856
13646,2021,3,1,CZ052,Královéhradecký kraj,550803
1033,2021,7,3,CZ020,Středočeský kraj,1397997
19,2020,5,2,CZ053,Pardubický kraj,522856
3077,2020,9,3,CZ080,Moravskoslezský kraj,1192834
330,2020,8,3,CZ031,Jihočeský kraj,643551
18216,2021,3,1,CZ053,Pardubický kraj,522856
13549,2021,2,1,CZ051,Liberecký kraj,442476
18432,2021,2,1,CZ042,Ústecký kraj,817004
1044,2021,5,2,CZ053,Pardubický kraj,522856
21,2020,5,2,CZ052,Královéhradecký kraj,550803
184,2021,7,3,CZ051,Liberecký kraj,442476
6498,2021,4,2,CZ071,Olomoucký kraj,630522
22887,2021,2,1,CZ052,Královéhradecký kraj,550803
2125,2020,9,3,CZ063,Kraj Vysočina,508852
164,2020,4,2,CZ053,Pardubický kraj,522856
9323,2020,11,4,CZ032,Plzeňský kraj,591041
1014,2020,8,3,CZ080,Moravskoslezský kraj,1192834
9929,2020,12,4,CZ032,Plzeňský kraj,591041
284,2021,9,3,CZ052,Královéhradecký kraj,550803
1606,2021,8,3,CZ010,Hlavní město Praha,1335084
491,2021,9,3,CZ053,Pardubický kraj,522856
24029,2021,1,1,CZ052,Královéhradecký kraj,550803
187,2020,3,1,CZ064,Jihomoravský kraj,1195327
12201,2021,11,4,CZ053,Pardubický kraj,522856
33,2020,6,2,CZ053,Pardubický kraj,522856
340,2020,8,3,CZ053,Pardubický kraj,522856
1892,2021,5,2,CZ071,Olomoucký kraj,630522
105,2020,3,1,CZ053,Pardubický kraj,522856
2395,2021,5,2,CZ031,Jihočeský kraj,643551
22806,2020,11,4,CZ080,Moravskoslezský kraj,1192834
4197,2021,10,4,CZ072,Zlínský kraj,580119
1099,2021,6,2,CZ010,Hlavní město Praha,1335084
151,2021,8,3,CZ052,Královéhradecký kraj,550803
230,2021,9,3,CZ051,Liberecký kraj,442476
2042,2020,9,3,CZ053,Pardubický kraj,522856
242,2021,8,3,CZ063,Kraj Vysočina,508852
47367,2021,3,1,CZ020,Středočeský kraj,1397997
17,2020,6,2,CZ031,Jihočeský kraj,643551
14262,2020,12,4,CZ042,Ústecký kraj,817004
24956,2021,3,1,CZ080,Moravskoslezský kraj,1192834
111,2020,3,1,CZ063,Kraj Vysočina,508852
117,2020,7,3,CZ053,Pardubický kraj,522856
14024,2021,3,1,CZ063,Kraj Vysočina,508852
1988,2021,7,3,CZ010,Hlavní město Praha,1335084
130,2021,7,3,CZ072,Zlínský kraj,580119
72,2021,7,3,CZ041,Karlovarský kraj,293311
401,2021,9,3,CZ063,Kraj Vysočina,508852
1066,2020,9,3,CZ041,Karlovarský kraj,293311
148,2020,3,1,CZ072,Zlínský kraj,580119
11181,2020,11,4,CZ052,Královéhradecký kraj,550803
11,2020,5,2,CZ063,Kraj Vysočina,508852
32976,2021,1,1,CZ020,Středočeský kraj,1397997
16605,2021,11,4,CZ031,Jihočeský kraj,643551
1167,2021,5,2,CZ051,Liberecký kraj,442476
2139,2020,9,3,CZ071,Olomoucký kraj,630522
308,2020,3,1,CZ080,Moravskoslezský kraj,1192834
15801,2020,10,4,CZ032,Plzeňský kraj,591041
599,2021,9,3,CZ072,Zlínský kraj,580119
31244,2020,10,4,CZ010,Hlavní město Praha,1335084
10663,2021,1,1,CZ063,Kraj Vysočina,508852
12682,2021,1,1,CZ032,Plzeňský kraj,591041
469,2021,6,2,CZ064,Jihomoravský kraj,1195327
63,2020,4,2,CZ063,Kraj Vysočina,508852
19152,2020,12,4,CZ064,Jihomoravský kraj,1195327
134,2020,7,3,CZ072,Zlínský kraj,580119
30897,2021,11,4,CZ020,Středočeský kraj,1397997
6050,2021,10,4,CZ071,Olomoucký kraj,630522
34478,2021,11,4,CZ080,Moravskoslezský kraj,1192834
12062,2020,12,4,CZ071,Olomoucký kraj,630522
15865,2021,3,1,CZ071,Olomoucký kraj,630522
53,2020,5,2,CZ071,Olomoucký kraj,630522
11178,2021,3,1,CZ072,Zlínský kraj,580119
1683,2020,9,3,CZ051,Liberecký kraj,442476
814,2021,4,2,CZ041,Karlovarský kraj,293311
12246,2021,2,1,CZ031,Jihočeský kraj,643551
23899,2021,1,1,CZ064,Jihomoravský kraj,1195327
10720,2021,2,1,CZ071,Olomoucký kraj,630522
335,2021,7,3,CZ064,Jihomoravský kraj,1195327
442,2020,4,2,CZ032,Plzeňský kraj,591041
16252,2021,2,1,CZ053,Pardubický kraj,522856
11469,2020,11,4,CZ053,Pardubický kraj,522856
146,2020,7,3,CZ031,Jihočeský kraj,643551
10,2020,6,2,CZ072,Zlínský kraj,580119
13806,2021,1,1,CZ072,Zlínský kraj,580119
6342,2021,11,4,CZ051,Liberecký kraj,442476
163,2020,6,2,CZ020,Středočeský kraj,1397997
3691,2021,4,2,CZ051,Liberecký kraj,442476
267,2020,4,2,CZ064,Jihomoravský kraj,1195327
18078,2020,10,4,CZ042,Ústecký kraj,817004
105,2020,3,1,CZ052,Královéhradecký kraj,550803
16,2020,6,2,CZ032,Plzeňský kraj,591041
2175,2020,9,3,CZ031,Jihočeský kraj,643551
5664,2021,10,4,CZ031,Jihočeský kraj,643551
1016,2021,5,2,CZ032,Plzeňský kraj,591041
107,2020,3,1,CZ041,Karlovarský kraj,293311
301,2020,3,1,CZ071,Olomoucký kraj,630522
481,2021,6,2,CZ031,Jihočeský kraj,643551
12644,2020,11,4,CZ031,Jihočeský kraj,643551
111,2020,5,2,CZ064,Jihomoravský kraj,1195327
111,2020,3,1,CZ051,Liberecký kraj,442476
655,2021,6,2,CZ020,Středočeský kraj,1397997
193,2021,7,3,CZ031,Jihočeský kraj,643551
13223,2020,11,4,CZ010,Hlavní město Praha,1335084
2076,2021,4,2,CZ052,Královéhradecký kraj,550803
374,2020,5,2,CZ010,Hlavní město Praha,1335084
28576,2020,12,4,CZ020,Středočeský kraj,1397997
285,2021,8,3,CZ032,Plzeňský kraj,591041
8865,2021,4,2,CZ010,Hlavní město Praha,1335084
4282,2021,10,4,CZ032,Plzeňský kraj,591041
35978,2021,11,4,CZ064,Jihomoravský kraj,1195327
25,2020,6,2,CZ041,Karlovarský kraj,293311
1494,2020,7,3,CZ080,Moravskoslezský kraj,1192834
263,2021,6,2,CZ042,Ústecký kraj,817004
28575,2021,3,1,CZ064,Jihomoravský kraj,1195327
5071,2020,10,4,CZ041,Karlovarský kraj,293311
714,2021,9,3,CZ042,Ústecký kraj,817004
111,2020,6,2,CZ064,Jihomoravský kraj,1195327
11526,2020,10,4,CZ051,Liberecký kraj,442476
7522,2021,4,2,CZ031,Jihočeský kraj,643551
64,2020,7,3,CZ032,Plzeňský kraj,591041
16642,2021,11,4,CZ072,Zlínský kraj,580119
9603,2020,12,4,CZ051,Liberecký kraj,442476
167,2021,8,3,CZ053,Pardubický kraj,522856
1466,2021,10,4,CZ052,Královéhradecký kraj,550803
1768,2021,5,2,CZ063,Kraj Vysočina,508852
14246,2020,11,4,CZ042,Ústecký kraj,817004
160,2020,7,3,CZ051,Liberecký kraj,442476
10530,2020,9,3,CZ010,Hlavní město Praha,1335084
9226,2021,4,2,CZ042,Ústecký kraj,817004
8316,2021,11,4,CZ052,Královéhradecký kraj,550803
13130,2021,1,1,CZ051,Liberecký kraj,442476
14868,2021,1,1,CZ053,Pardubický kraj,522856
350,2020,8,3,CZ063,Kraj Vysočina,508852
170,2020,5,2,CZ020,Středočeský kraj,1397997
2527,2020,9,3,CZ072,Zlínský kraj,580119
2355,2021,11,4,CZ041,Karlovarský kraj,293311
8426,2021,10,4,CZ020,Středočeský kraj,1397997
8141,2021,2,1,CZ063,Kraj Vysočina,508852
16,2020,7,3,CZ041,Karlovarský kraj,293311
207,2020,3,1,CZ042,Ústecký kraj,817004
13916,2020,11,4,CZ063,Kraj Vysočina,508852
31926,2021,1,1,CZ080,Moravskoslezský kraj,1192834
13444,2021,1,1,CZ071,Olomoucký kraj,630522
42,2021,6,2,CZ041,Karlovarský kraj,293311
9881,2021,10,4,CZ064,Jihomoravský kraj,1195327
1495,2021,9,3,CZ064,Jihomoravský kraj,1195327
6763,2021,2,1,CZ072,Zlínský kraj,580119
303,2020,8,3,CZ072,Zlínský kraj,580119
1142,2020,8,3,CZ020,Středočeský kraj,1397997
279,2021,5,2,CZ041,Karlovarský kraj,293311
4035,2020,11,4,CZ041,Karlovarský kraj,293311
15288,2021,1,1,CZ042,Ústecký kraj,817004
20705,2021,3,1,CZ032,Plzeňský kraj,591041
165,2020,6,2,CZ071,Olomoucký kraj,630522
153,2021,7,3,CZ052,Královéhradecký kraj,550803
100,2020,3,1,CZ031,Jihočeský kraj,643551
