count,kraj,vek
1968,CZ064,20
440,CZ041,20
1132,CZ052,20
1243,CZ031,20
1208,CZ032,20
963,CZ051,21
1171,CZ072,21
1209,CZ052,21
1453,CZ042,21
1000,CZ063,21
468,CZ041,21
2032,CZ064,21
1270,CZ031,21
1312,CZ032,21
2213,CZ080,21
2370,CZ010,21
1259,CZ071,21
1188,CZ053,21
2566,CZ020,21
2389,CZ010,22
2262,CZ080,22
1277,CZ031,22
1172,CZ072,22
1253,CZ053,22
2783,CZ020,22
1156,CZ052,22
898,CZ051,22
1479,CZ042,22
456,CZ041,22
1010,CZ063,22
1230,CZ071,22
2057,CZ064,22
1208,CZ032,22
952,CZ051,23
2152,CZ064,23
1214,CZ052,23
1328,CZ071,23
1266,CZ053,23
2361,CZ080,23
1221,CZ072,23
501,CZ041,23
1260,CZ031,23
1086,CZ063,23
2728,CZ020,23
2625,CZ010,23
1457,CZ042,23
1242,CZ032,23
2490,CZ080,24
2666,CZ010,24
1452,CZ042,24
2648,CZ020,24
1317,CZ031,24
1335,CZ071,24
483,CZ041,24
1192,CZ072,24
1155,CZ053,24
1252,CZ052,24
2331,CZ064,24
1111,CZ063,24
1253,CZ032,24
924,CZ051,24
1519,CZ042,25
2396,CZ064,25
2562,CZ080,25
549,CZ041,25
2750,CZ020,25
1267,CZ071,25
1357,CZ032,25
2844,CZ010,25
1292,CZ072,25
1248,CZ053,25
1004,CZ051,25
1364,CZ031,25
1219,CZ052,25
1095,CZ063,25
1458,CZ032,26
1419,CZ071,26
1432,CZ031,26
1351,CZ053,26
543,CZ041,26
3329,CZ010,26
2639,CZ080,26
2635,CZ064,26
2990,CZ020,26
1319,CZ052,26
1061,CZ051,26
1613,CZ042,26
1375,CZ072,26
1152,CZ063,26
1589,CZ032,27
1563,CZ071,27
3591,CZ010,27
1301,CZ063,27
1471,CZ072,27
2966,CZ064,27
3279,CZ020,27
1803,CZ042,27
1164,CZ051,27
2975,CZ080,27
1415,CZ052,27
581,CZ041,27
1428,CZ053,27
1685,CZ031,27
3137,CZ064,28
3513,CZ020,28
1326,CZ063,28
1937,CZ042,28
1714,CZ071,28
1551,CZ053,28
1687,CZ031,28
1560,CZ072,28
1700,CZ032,28
3862,CZ010,28
1214,CZ051,28
1566,CZ052,28
3095,CZ080,28
651,CZ041,28
1719,CZ031,29
1576,CZ052,29
642,CZ041,29
1626,CZ053,29
1372,CZ063,29
1712,CZ032,29
3149,CZ064,29
3626,CZ020,29
1578,CZ072,29
1219,CZ051,29
3879,CZ010,29
1934,CZ042,29
3218,CZ080,29
1661,CZ071,29
1706,CZ032,30
1544,CZ053,30
1586,CZ052,30
1927,CZ042,30
4147,CZ010,30
1176,CZ051,30
1667,CZ071,30
3145,CZ064,30
3303,CZ080,30
1779,CZ031,30
1343,CZ063,30
651,CZ041,30
3679,CZ020,30
1614,CZ072,30
3008,CZ064,31
1859,CZ042,31
3687,CZ020,31
1639,CZ072,31
1251,CZ051,31
1675,CZ032,31
1692,CZ031,31
1324,CZ063,31
3320,CZ080,31
1770,CZ071,31
1557,CZ052,31
624,CZ041,31
4066,CZ010,31
1522,CZ053,31
1658,CZ071,32
3047,CZ064,32
3806,CZ020,32
1748,CZ042,32
1565,CZ072,32
678,CZ041,32
1661,CZ031,32
1513,CZ053,32
1738,CZ032,32
1599,CZ052,32
3343,CZ080,32
3923,CZ010,32
1235,CZ051,32
1300,CZ063,32
4078,CZ010,33
682,CZ041,33
1691,CZ032,33
1596,CZ072,33
1962,CZ042,33
1546,CZ053,33
1511,CZ052,33
3757,CZ020,33
1749,CZ031,33
3299,CZ080,33
1296,CZ063,33
1765,CZ071,33
3151,CZ064,33
1306,CZ051,33
3108,CZ064,34
1711,CZ071,34
3272,CZ080,34
1312,CZ051,34
4182,CZ010,34
1569,CZ053,34
3765,CZ020,34
1504,CZ072,34
1227,CZ063,34
1681,CZ031,34
689,CZ041,34
1458,CZ052,34
1720,CZ032,34
1984,CZ042,34
1252,CZ051,35
4176,CZ010,35
1966,CZ042,35
1755,CZ071,35
3389,CZ080,35
4185,CZ020,35
1602,CZ072,35
1247,CZ063,35
1552,CZ052,35
3107,CZ064,35
1693,CZ032,35
671,CZ041,35
1545,CZ053,35
1697,CZ031,35
1343,CZ063,36
1827,CZ031,36
3342,CZ080,36
4159,CZ010,36
680,CZ041,36
2060,CZ042,36
1777,CZ071,36
1881,CZ032,36
1264,CZ051,36
3293,CZ064,36
4261,CZ020,36
1635,CZ072,36
1625,CZ053,36
1697,CZ052,36
1927,CZ031,37
1287,CZ051,37
1665,CZ052,37
4186,CZ010,37
1596,CZ072,37
666,CZ041,37
3404,CZ080,37
1932,CZ032,37
3362,CZ064,37
4381,CZ020,37
2016,CZ042,37
1422,CZ063,37
1522,CZ053,37
1813,CZ071,37
4166,CZ010,38
2076,CZ042,38
712,CZ041,38
1376,CZ051,38
4566,CZ020,38
1615,CZ052,38
1877,CZ031,38
1748,CZ072,38
1587,CZ053,38
1858,CZ071,38
3380,CZ064,38
1937,CZ032,38
3373,CZ080,38
1426,CZ063,38
1384,CZ051,39
1955,CZ031,39
753,CZ041,39
2226,CZ042,39
4256,CZ010,39
1756,CZ072,39
1733,CZ052,39
1672,CZ053,39
4677,CZ020,39
1481,CZ063,39
2051,CZ071,39
3530,CZ064,39
3562,CZ080,39
1948,CZ032,39
1473,CZ051,40
2302,CZ042,40
2012,CZ032,40
2119,CZ071,40
5036,CZ020,40
3751,CZ080,40
757,CZ041,40
1497,CZ063,40
1886,CZ072,40
2074,CZ031,40
1771,CZ053,40
1708,CZ052,40
3646,CZ064,40
4316,CZ010,40
4625,CZ010,41
3812,CZ064,41
1644,CZ051,41
5439,CZ020,41
2536,CZ042,41
817,CZ041,41
1938,CZ052,41
2001,CZ072,41
4021,CZ080,41
1647,CZ063,41
2248,CZ032,41
1917,CZ053,41
2136,CZ031,41
2167,CZ071,41
1821,CZ063,42
2264,CZ032,42
4990,CZ010,42
969,CZ041,42
4277,CZ080,42
2440,CZ071,42
5980,CZ020,42
4162,CZ064,42
2203,CZ072,42
2727,CZ042,42
1703,CZ051,42
2173,CZ053,42
2411,CZ031,42
2159,CZ052,42
1896,CZ051,43
1875,CZ063,43
5037,CZ010,43
2545,CZ071,43
4315,CZ064,43
2246,CZ072,43
6058,CZ020,43
932,CZ041,43
2533,CZ031,43
2280,CZ052,43
4619,CZ080,43
2402,CZ032,43
2195,CZ053,43
2895,CZ042,43
1957,CZ051,44
2454,CZ032,44
1929,CZ063,44
2397,CZ072,44
4655,CZ080,44
936,CZ041,44
2600,CZ031,44
2288,CZ053,44
4447,CZ064,44
2932,CZ042,44
5068,CZ010,44
2296,CZ052,44
6118,CZ020,44
2634,CZ071,44
4834,CZ010,45
2375,CZ053,45
1040,CZ041,45
2013,CZ051,45
2769,CZ071,45
4734,CZ080,45
2420,CZ052,45
2670,CZ031,45
2345,CZ072,45
1936,CZ063,45
3160,CZ042,45
6357,CZ020,45
4475,CZ064,45
2579,CZ032,45
2537,CZ052,46
2017,CZ063,46
3191,CZ042,46
2667,CZ071,46
4974,CZ080,46
1098,CZ041,46
2665,CZ032,46
2072,CZ051,46
2662,CZ031,46
6250,CZ020,46
2383,CZ053,46
4420,CZ064,46
4931,CZ010,46
2391,CZ072,46
4304,CZ064,47
2584,CZ031,47
2692,CZ071,47
1088,CZ041,47
3275,CZ042,47
4642,CZ010,47
6139,CZ020,47
4932,CZ080,47
2557,CZ032,47
2363,CZ072,47
1943,CZ051,47
2337,CZ053,47
2450,CZ052,47
1966,CZ063,47
4140,CZ010,48
4496,CZ080,48
2162,CZ053,48
2338,CZ032,48
2280,CZ052,48
2428,CZ071,48
1872,CZ063,48
3987,CZ064,48
1851,CZ051,48
2420,CZ031,48
2949,CZ042,48
5674,CZ020,48
2212,CZ072,48
985,CZ041,48
2020,CZ072,49
5028,CZ020,49
1982,CZ053,49
2102,CZ032,49
2289,CZ031,49
2216,CZ071,49
1741,CZ063,49
2231,CZ052,49
1672,CZ051,49
3659,CZ064,49
2700,CZ042,49
4254,CZ080,49
3792,CZ010,49
918,CZ041,49
4693,CZ020,50
1733,CZ063,50
3994,CZ080,50
3482,CZ010,50
2066,CZ071,50
1945,CZ032,50
1942,CZ053,50
1534,CZ051,50
3448,CZ064,50
870,CZ041,50
2559,CZ042,50
2057,CZ052,50
2076,CZ031,50
1860,CZ072,50
1710,CZ053,51
1953,CZ052,51
3187,CZ064,51
1531,CZ051,51
1946,CZ031,51
1977,CZ071,51
3261,CZ010,51
1614,CZ063,51
3882,CZ080,51
1862,CZ072,51
1883,CZ032,51
4415,CZ020,51
809,CZ041,51
2397,CZ042,51
1789,CZ072,52
843,CZ041,52
3686,CZ080,52
1368,CZ051,52
2247,CZ042,52
1694,CZ053,52
1857,CZ032,52
1496,CZ063,52
1864,CZ071,52
1803,CZ052,52
3075,CZ064,52
1914,CZ031,52
4033,CZ020,52
3052,CZ010,52
3525,CZ080,53
1795,CZ031,53
1790,CZ052,53
1468,CZ063,53
1733,CZ032,53
808,CZ041,53
1749,CZ071,53
1252,CZ051,53
1605,CZ053,53
3819,CZ020,53
3018,CZ010,53
2822,CZ064,53
2149,CZ042,53
1712,CZ072,53
1648,CZ052,54
1567,CZ063,54
3635,CZ080,54
2949,CZ010,54
1722,CZ032,54
1763,CZ072,54
3737,CZ020,54
2924,CZ064,54
1520,CZ053,54
1300,CZ051,54
1842,CZ071,54
730,CZ041,54
2141,CZ042,54
1900,CZ031,54
1844,CZ071,55
3801,CZ020,55
2950,CZ064,55
1269,CZ051,55
3750,CZ080,55
1727,CZ072,55
1751,CZ032,55
1842,CZ031,55
2894,CZ010,55
1454,CZ063,55
1709,CZ052,55
2099,CZ042,55
1622,CZ053,55
789,CZ041,55
3780,CZ080,56
1529,CZ063,56
3846,CZ020,56
3067,CZ064,56
3042,CZ010,56
1829,CZ032,56
1866,CZ072,56
2221,CZ042,56
1315,CZ051,56
1912,CZ031,56
808,CZ041,56
1919,CZ071,56
1591,CZ053,56
1830,CZ052,56
1747,CZ052,57
3063,CZ064,57
2209,CZ042,57
1353,CZ051,57
1886,CZ031,57
1619,CZ053,57
2959,CZ010,57
1814,CZ072,57
836,CZ041,57
1744,CZ032,57
1550,CZ063,57
1917,CZ071,57
3651,CZ080,57
3823,CZ020,57
2695,CZ010,58
1976,CZ042,58
3437,CZ080,58
716,CZ041,58
1390,CZ063,58
1707,CZ052,58
1643,CZ072,58
1725,CZ031,58
1244,CZ051,58
1483,CZ053,58
1620,CZ032,58
3451,CZ020,58
1796,CZ071,58
2696,CZ064,58
1410,CZ053,59
1595,CZ072,59
1644,CZ031,59
1360,CZ063,59
3119,CZ080,59
3063,CZ020,59
1088,CZ051,59
1465,CZ032,59
1627,CZ071,59
2493,CZ010,59
1463,CZ052,59
1677,CZ042,59
744,CZ041,59
2508,CZ064,59
1582,CZ031,60
3033,CZ020,60
1238,CZ063,60
1429,CZ052,60
1508,CZ072,60
1316,CZ053,60
1676,CZ042,60
644,CZ041,60
1562,CZ071,60
2311,CZ010,60
1503,CZ032,60
2872,CZ080,60
1004,CZ051,60
2489,CZ064,60
2517,CZ080,61
2173,CZ064,61
638,CZ041,61
1117,CZ053,61
1357,CZ072,61
1300,CZ032,61
1156,CZ063,61
1396,CZ071,61
2685,CZ020,61
1373,CZ052,61
2086,CZ010,61
965,CZ051,61
1436,CZ031,61
1548,CZ042,61
2044,CZ010,62
910,CZ051,62
1261,CZ072,62
1508,CZ042,62
1053,CZ063,62
1387,CZ071,62
2636,CZ020,62
1116,CZ053,62
2418,CZ080,62
2047,CZ064,62
1313,CZ031,62
1175,CZ032,62
604,CZ041,62
1234,CZ052,62
1132,CZ053,63
2337,CZ080,63
1215,CZ072,63
593,CZ041,63
1190,CZ052,63
1320,CZ031,63
1240,CZ071,63
1464,CZ042,63
2094,CZ064,63
966,CZ063,63
1179,CZ032,63
876,CZ051,63
2616,CZ020,63
2065,CZ010,63
2530,CZ020,64
963,CZ063,64
1976,CZ010,64
2253,CZ080,64
869,CZ051,64
1102,CZ053,64
1162,CZ052,64
1268,CZ031,64
1416,CZ042,64
590,CZ041,64
1152,CZ071,64
1156,CZ072,64
1190,CZ032,64
2023,CZ064,64
1177,CZ071,65
919,CZ063,65
1105,CZ072,65
967,CZ053,65
2152,CZ080,65
810,CZ051,65
1876,CZ064,65
530,CZ041,65
1212,CZ052,65
2397,CZ020,65
1218,CZ031,65
1395,CZ042,65
1077,CZ032,65
1956,CZ010,65
1104,CZ032,66
532,CZ041,66
2012,CZ080,66
1099,CZ071,66
1012,CZ072,66
2300,CZ020,66
1238,CZ031,66
1719,CZ064,66
1861,CZ010,66
796,CZ051,66
1356,CZ042,66
1154,CZ052,66
819,CZ063,66
987,CZ053,66
1059,CZ052,67
591,CZ041,67
1087,CZ071,67
1912,CZ010,67
839,CZ051,67
1076,CZ031,67
1383,CZ042,67
809,CZ063,67
897,CZ072,67
941,CZ053,67
967,CZ032,67
1959,CZ080,67
2232,CZ020,67
1713,CZ064,67
1732,CZ010,68
1085,CZ031,68
1299,CZ042,68
1663,CZ064,68
981,CZ032,68
1007,CZ071,68
1968,CZ080,68
985,CZ072,68
569,CZ041,68
936,CZ053,68
767,CZ063,68
2141,CZ020,68
836,CZ051,68
1101,CZ052,68
1758,CZ010,69
926,CZ072,69
973,CZ032,69
827,CZ051,69
1040,CZ071,69
879,CZ053,69
1113,CZ031,69
2114,CZ020,69
1338,CZ042,69
752,CZ063,69
528,CZ041,69
1605,CZ064,69
2029,CZ080,69
1110,CZ052,69
1930,CZ080,70
874,CZ053,70
1056,CZ052,70
1598,CZ064,70
1347,CZ042,70
958,CZ071,70
733,CZ063,70
1025,CZ031,70
1596,CZ010,70
782,CZ051,70
2034,CZ020,70
922,CZ032,70
